Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,6.7,3.2,5.6,1.6,Iris-virginica
2,6.1,2.8,3.9,1.2,Iris-versicolor
3,4.9,3.7,1.5,0.2,Iris-setosa
4,6.2,3.3,4.6,1.5,Iris-versicolor
5,6.6,3.5,5.6,2.0,Iris-virginica
6,5.4,2.8,4.0,0.8,Iris-versicolor
7,5.3,3.2,1.3,0.2,Iris-setosa
8,5.6,2.8,4.2,1.0,Iris-versicolor
9,6.5,2.8,5.0,2.0,Iris-virginica
10,6.6,2.9,4.9,1.5,Iris-versicolor
11,6.4,2.9,4.6,1.6,Iris-versicolor
12,4.8,3.6,1.7,0.2,Iris-setosa
13,6.0,2.7,4.4,1.5,Iris-versicolor
14,5.3,2.7,4.3,0.9,Iris-versicolor
15,5.5,3.4,5.7,1.9,Iris-virginica
16,6.3,3.1,5.4,2.7,Iris-virginica
17,5.4,3.9,1.4,0.2,Iris-setosa
18,4.8,3.2,1.0,0.0,Iris-setosa
19,6.5,3.4,4.7,1.2,Iris-versicolor
20,5.2,3.3,1.4,-0.0,Iris-setosa
21,7.3,3.2,5.8,1.7,Iris-virginica
22,6.8,2.5,6.0,2.3,Iris-virginica
23,5.2,3.5,1.6,0.1,Iris-setosa
24,5.5,2.9,3.8,1.6,Iris-versicolor
25,4.4,3.5,1.3,0.3,Iris-setosa
26,5.2,3.1,1.4,0.2,Iris-setosa
27,5.7,3.1,4.9,1.5,Iris-versicolor
28,5.3,3.4,1.5,0.1,Iris-setosa
29,6.0,2.7,4.1,1.4,Iris-versicolor
30,4.4,3.3,1.4,0.3,Iris-setosa
31,5.4,3.6,1.3,0.0,Iris-setosa
32,4.9,3.2,1.6,0.2,Iris-setosa
33,6.4,2.2,4.2,1.2,Iris-versicolor
34,5.1,2.9,4.0,1.4,Iris-versicolor
35,7.0,2.6,5.0,2.3,Iris-virginica
36,5.1,3.9,1.4,0.3,Iris-setosa
37,5.3,3.6,1.5,0.2,Iris-setosa
38,5.0,3.3,1.6,0.1,Iris-setosa
39,5.3,3.7,1.6,0.2,Iris-setosa
40,5.0,3.3,1.8,0.2,Iris-setosa
41,6.3,3.1,5.4,2.1,Iris-virginica
42,6.0,3.1,5.3,2.2,Iris-virginica
43,6.4,2.5,4.3,1.2,Iris-versicolor
44,4.3,3.4,1.7,0.1,Iris-setosa
45,6.4,2.9,5.8,2.0,Iris-virginica
46,4.8,3.3,1.7,0.1,Iris-setosa
47,6.5,3.1,5.6,1.8,Iris-virginica
48,6.6,2.9,4.3,1.0,Iris-versicolor
49,5.2,3.5,1.5,0.2,Iris-setosa
50,6.3,2.4,5.1,1.3,Iris-virginica
51,6.0,2.3,4.2,1.4,Iris-versicolor
52,5.5,2.8,4.1,1.4,Iris-versicolor
53,4.8,3.1,1.2,0.3,Iris-setosa
54,6.7,3.4,5.5,2.4,Iris-virginica
55,6.1,2.6,5.4,1.7,Iris-virginica
56,7.3,2.5,4.3,1.0,Iris-versicolor
57,5.3,3.6,1.4,0.1,Iris-setosa
58,5.4,2.9,1.7,0.2,Iris-setosa
59,5.7,2.5,5.8,2.1,Iris-virginica
60,5.1,3.7,1.5,0.2,Iris-setosa
61,7.2,2.7,6.1,2.7,Iris-virginica
62,6.0,2.9,5.4,1.8,Iris-virginica
63,4.8,3.8,1.5,0.4,Iris-setosa
64,6.1,2.6,4.5,1.4,Iris-versicolor
65,6.4,2.9,5.7,1.3,Iris-virginica
66,7.2,2.9,5.9,2.3,Iris-virginica
67,7.3,3.7,5.5,2.1,Iris-virginica
68,4.8,3.4,1.5,0.3,Iris-setosa
69,6.5,3.2,3.9,1.3,Iris-versicolor
70,7.1,3.0,4.9,1.7,Iris-virginica
71,4.8,3.2,1.5,0.2,Iris-setosa
72,6.2,2.8,4.5,1.5,Iris-versicolor
73,7.5,2.9,5.5,1.9,Iris-virginica
74,6.0,2.5,3.8,1.4,Iris-versicolor
75,5.2,3.1,1.2,0.2,Iris-setosa
76,6.7,2.9,5.6,1.9,Iris-virginica
77,4.5,3.9,1.3,0.0,Iris-setosa
78,6.5,2.5,5.4,1.9,Iris-virginica
79,5.8,2.7,4.3,1.5,Iris-versicolor
80,4.6,3.1,1.2,0.2,Iris-setosa
81,6.1,2.8,5.0,2.0,Iris-virginica
82,5.1,2.6,4.0,1.7,Iris-versicolor
83,5.1,3.1,1.6,0.2,Iris-setosa
84,5.1,4.0,1.6,0.1,Iris-setosa
85,6.9,3.0,5.2,1.7,Iris-virginica
86,6.0,3.3,5.7,1.9,Iris-virginica
87,7.2,3.2,5.9,1.9,Iris-virginica
88,6.0,2.8,4.6,1.2,Iris-versicolor
89,5.6,2.3,4.0,1.4,Iris-versicolor
90,4.8,3.1,1.2,0.3,Iris-setosa
91,6.0,2.7,6.0,2.3,Iris-virginica
92,6.3,3.2,4.5,1.0,Iris-versicolor
93,5.0,3.6,1.4,0.2,Iris-setosa
94,6.4,3.0,3.8,1.5,Iris-versicolor
95,4.6,3.6,1.2,0.3,Iris-setosa
96,5.1,2.8,5.1,2.8,Iris-virginica
97,6.3,2.9,5.7,2.0,Iris-virginica
98,5.6,2.8,4.0,1.0,Iris-versicolor
99,6.2,2.5,5.3,1.7,Iris-virginica
100,5.3,2.7,4.1,1.5,Iris-versicolor
101,7.2,3.0,5.7,1.7,Iris-virginica
102,6.1,3.2,5.4,1.9,Iris-virginica
103,6.0,3.0,4.6,1.2,Iris-versicolor
104,6.3,2.8,4.6,0.8,Iris-versicolor
105,6.8,3.1,5.2,2.1,Iris-virginica
106,5.6,3.4,3.4,1.2,Iris-versicolor
107,6.9,3.2,5.6,2.1,Iris-virginica
108,6.8,2.8,5.2,2.0,Iris-virginica
109,6.8,2.8,6.1,1.8,Iris-virginica
110,6.2,2.7,4.0,1.1,Iris-versicolor
111,5.2,3.0,3.9,1.5,Iris-versicolor
112,5.9,3.3,3.8,1.5,Iris-versicolor
113,6.1,2.7,4.1,1.2,Iris-versicolor
114,5.2,2.9,5.4,1.4,Iris-versicolor
115,6.3,3.1,5.5,2.3,Iris-virginica
116,4.7,3.5,1.8,0.1,Iris-setosa
117,4.9,3.8,1.6,0.3,Iris-setosa
118,5.0,3.3,1.6,0.4,Iris-setosa
119,6.7,2.5,5.9,2.0,Iris-virginica
120,5.8,2.3,4.1,1.1,Iris-versicolor
121,5.8,2.9,4.8,1.7,Iris-virginica
122,6.3,2.9,5.8,1.7,Iris-virginica
123,6.0,2.9,4.4,1.3,Iris-versicolor
124,6.8,2.9,5.6,2.5,Iris-virginica
125,6.3,2.9,5.6,1.9,Iris-virginica
126,5.1,3.2,1.6,0.3,Iris-setosa
127,5.0,4.0,1.4,0.3,Iris-setosa
128,4.6,3.4,1.4,0.3,Iris-setosa
129,6.2,2.9,5.4,2.6,Iris-virginica
130,5.4,2.7,4.2,1.2,Iris-versicolor
131,5.3,2.5,3.9,1.2,Iris-versicolor
132,6.1,2.4,4.0,1.4,Iris-versicolor
133,4.8,3.7,1.7,0.3,Iris-setosa
134,6.0,3.1,4.3,1.3,Iris-versicolor
135,6.3,2.3,4.4,1.2,Iris-versicolor
136,5.9,2.4,6.1,2.0,Iris-virginica
137,5.1,3.8,1.3,0.2,Iris-setosa
138,7.2,2.7,4.6,1.3,Iris-versicolor
139,4.8,4.2,1.4,0.2,Iris-setosa
140,5.7,3.0,4.4,1.1,Iris-versicolor
141,6.1,2.7,5.7,1.7,Iris-virginica
142,5.0,3.3,1.4,0.3,Iris-setosa
143,5.0,3.6,1.4,0.4,Iris-setosa
144,7.3,3.1,5.9,1.9,Iris-virginica
145,6.0,3.0,3.7,1.0,Iris-versicolor
146,4.8,3.3,1.5,0.1,Iris-setosa
147,5.4,3.0,5.0,1.5,Iris-versicolor
148,4.6,3.4,1.3,0.2,Iris-setosa
149,5.4,3.4,1.3,0.3,Iris-setosa
150,6.8,2.7,5.4,1.8,Iris-virginica
